City, Country, Latitude, Longitude,concert duration
New York City, USA,40.7128,-74.006,75
Tokyo, Japan,35.6895,139.6917,63
London, UK,51.5074,-0.1278,71
Paris, France,48.8566,2.3522,58
Beijing, China,39.9042,116.4074,68
Moscow, Russia,55.7558,37.6176,53
Sao Paulo, Brazil,-23.5505,-46.6333,53
Delhi, India,28.7041,77.1025,75
Istanbul, Turkey,41.0082,28.9784,73
Cairo, Egypt,30.033,31.2336,59
Los Angeles, USA,34.0522,-118.2437,54
Buenos Aires, Argentina,-34.6037,-58.3816,68
Jakarta, Indonesia,-6.2088,106.8456,60
Mexico City, Mexico,19.4326,-99.1332,50
Seoul, South Korea,37.5665,126.978,75
Lagos, Nigeria,6.5244,3.3792,52
Mumbai, India,19.076,72.8777,56
Osaka, Japan,34.6937,135.5023,59
Karachi, Pakistan,24.8607,67.0011,75
Manila, Philippines,14.5995,120.9842,50
Canberra, Australia,-35.282,149.1286,65
Washington D.C., USA,38.9072,-77.0369,51
Rome, Italy,41.9028,12.4964,71
Berlin, Germany,52.52,13.405,64
Ottawa, Canada,45.4215,-75.691,51
Brasilia, Brazil,-15.8267,-47.9218,53
Madrid, Spain,40.4168,-3.7038,63
Abu Dhabi, UAE,24.4539,54.3773,75
Pretoria, South Africa,-25.7463,28.1876,71
Wellington, New Zealand,-41.2865,174.7762,62
Paris, France,48.8566,2.3522,50
Beijing, China,39.9042,116.4074,70
Moscow, Russia,55.7558,37.6176,68
Tehran, Iran,35.6892,51.389,71
Nairobi, Kenya,-1.2921,36.8219,60
Athens, Greece,37.9838,23.7275,59
Stockholm, Sweden,59.3293,18.0686,68
Lisbon, Portugal,38.7223,-9.1393,55
Dublin, Ireland,53.3498,-6.2603,63
Hanoi, Vietnam,21.0278,105.8342,55
Bangkok, Thailand,13.7563,100.5018,68
Oslo, Norway,59.9139,10.7522,71
Cairo, Egypt,30.033,31.2336,63
Buenos Aires, Argentina,-34.6037,-58.3816,60
Addis Ababa, Ethiopia,9.0084,38.7575,53
Islamabad, Pakistan,33.6844,73.0479,63
Seoul, South Korea,37.5665,126.978,63
Riyadh, Saudi Arabia,24.7136,46.6753,72
Helsinki, Finland,60.1695,24.9354,65
