Song Name,Popularity,Duration (min)
Gas In The Tank,43,3.67195
Roots In My Boots,34,3.2840166666666666
Knock 'em Dead,33,4.1887
Rock Believer,51,3.9521333333333333
Shining Of Your Soul,40,3.96
Seventh Sun,42,5.51195
Hot And Cold,32,4.21345
When I Lay My Bones To Rest,31,3.1326666666666667
Peacemaker,42,2.9351166666666666
Call Of The Wild,30,5.349866666666666
When You Know (Where You Come From),50,4.3691
Shoot For Your Heart,32,4.031916666666667
When Tomorrow Comes,29,3.798966666666667
Unleash The Beast,28,4.29045
Crossing Borders,28,3.6369666666666665
When You Know (Where You Come From) - Acoustic Version,31,3.745616666666667
Going out with a Bang,28,3.7891
We Built This House,32,3.898216666666667
Rock My Car,25,3.3466666666666667
House of Cards,32,5.094666666666667
All for One,23,2.970666666666667
Rock 'n' Roll Band,25,3.9137666666666666
Catch Your Luck and Play,24,3.5537666666666667
Rollin' Home,25,4.0631
Hard Rockin' the Place,23,4.116
Eye of the Storm,31,4.464883333333334
The Scratch,23,3.6908833333333333
Gypsy Life,27,4.865766666666667
The World We Used to Know,24,3.8644333333333334
Dancing with the Moonlight,25,3.7028833333333333
When the Truth Is a Lie,22,4.458666666666667
Who We Are,30,2.5544333333333333
Crazy Ride,22,4.366433333333333
One and One Is Three,21,4.382666666666666
Delirious,22,2.9662166666666665
Dancing with the Moonlight - Studio Edit,31,3.4384333333333332
Rock You Like a Hurricane (with Johannes Strate) - Studio Edit,27,3.9162166666666667
Where the River Flows (feat. Ina Müller) - Studio Edit,31,3.8897666666666666
In Trance (with Cäthe) - Studio Edit,25,3.8148833333333334
Born to Touch Your Feelings - Studio Edit,48,4.017766666666667
Passion Rules the Game - Studio Edit,30,3.9971
When You Came into My Life - Studio Edit,54,3.5126666666666666
Rock You Like a Hurricane - Studio Edit,25,3.935766666666667
Where the River Flows - Studio Edit,26,3.9026666666666667
In Trance - Studio Edit,39,3.83355
Sting in the Tail - MTV Unplugged,27,4.632883333333333
Can't Live Without You - MTV Unplugged,27,3.894433333333333
Pictured Life - MTV Unplugged,25,3.9513333333333334
Speedy's Coming - MTV Unplugged,25,4.286883333333333
Born to Touch Your Feelings - MTV Unplugged,29,6.2551
The Best Is yet to Come - MTV Unplugged,28,5.056883333333333
Dancing with the Moonlight - MTV Unplugged,28,3.9837666666666665
In Trance (with Cäthe) - MTV Unplugged,29,4.5731
When You Came into My Life - MTV Unplugged,36,5.08355
Delicate Dance (Matthias Solo) - MTV Unplugged,26,5.175333333333334
Love Is the Answer (Rudolf Solo) - MTV Unplugged,27,4.5131
Follow Your Heart - MTV Unplugged,31,2.786
Send Me an Angel - MTV Unplugged,39,3.93955
Where the River Flows - MTV Unplugged,27,3.9753333333333334
Passion Rules the Game - MTV Unplugged,27,5.768666666666666
Rock You Like a Hurricane (with Johannes Strate) - MTV Unplugged,34,4.97755
Hit Between the Eyes - MTV Unplugged,22,4.754666666666667
Rock 'n' Roll Band - MTV Unplugged,23,4.5371
Blackout - MTV Unplugged,24,4.960666666666667
Still Loving You - MTV Unplugged,41,3.7188833333333333
Big City Nights - MTV Unplugged,30,4.520883333333333
Wind of Change (with Morten Harket) - MTV Unplugged,47,5.52155
No One Like You - MTV Unplugged,31,4.65555
When the Smoke Is Going Down - MTV Unplugged,34,3.752883333333333
Rhythm of Love,53,3.657766666666667
No One Like You,58,4.108883333333333
The Zoo,42,5.6386666666666665
Rock You Like a Hurricane - 2011,69,4.25955
Blackout,39,3.81555
Wind of Change,57,5.147766666666667
